year,january,february,march,april,may,june,july,august,september,october,november,december
1958,1.54,1.4,0.99,0.31,0.32,0.3,0.04,0.24,-0.31,-0.03,0.05,0.3
1959,0.43,0.5,0.26,0.27,-0.01,-0.33,-0.28,-0.41,-0.53,0.11,-0.17,-0.05
1960,0.02,-0.24,-0.08,0.01,0.05,-0.2,-0.25,0,0.03,-0.07,-0.38,0.02
1961,-0.15,0.04,-0.1,0.13,-0.01,0.1,-0.32,-0.25,-0.52,-0.71,-0.19,-0.29
1962,-0.25,-0.16,-0.41,-0.32,-0.42,-0.22,-0.3,-0.13,-0.56,-0.33,-0.43,-0.49
1963,-0.32,-0.26,-0.06,-0.06,0,0.12,0.72,0.9,0.65,0.84,0.75,1.05
1964,0.76,0.55,-0.16,-0.53,-0.74,-0.88,-0.65,-0.76,-0.93,-1,-1.1,-1.07
1965,-0.57,-0.36,-0.34,-0.09,0.19,0.45,0.81,1.25,1.26,1.61,1.54,1.45
1966,1.13,0.83,0.83,0.54,-0.06,0.14,0.23,-0.1,-0.05,-0.05,-0.37,-0.26
1967,-0.55,-0.56,-0.47,-0.53,-0.24,-0.12,-0.1,-0.31,-0.59,-0.38,-0.34,-0.35
1968,-0.6,-0.74,-0.76,-0.47,-0.44,0.19,0.31,0.33,0.05,0.32,0.76,0.76
1969,0.9,1.02,0.61,0.33,0.39,0.26,0.1,0.52,0.47,0.66,0.75,0.68
1970,0.55,0.36,0.26,0.18,0.01,-0.3,-0.98,-0.95,-0.78,-0.65,-0.85,-1.11
1971,-1.47,-1.28,-1.29,-0.97,-0.82,-0.78,-0.64,-0.65,-0.75,-0.78,-0.85,-0.89
1972,-0.58,-0.22,-0.25,0.21,0.33,0.66,0.83,1.3,1.19,1.77,1.87,2.19
1973,1.6,1.08,0.58,-0.07,-0.56,-0.86,-1.14,-1.21,-1.4,-1.58,-2.07,-2.18
1974,-2.02,-1.5,-1.44,-1,-0.79,-0.7,-0.65,-0.32,-0.35,-0.75,-0.96,-0.86
1975,-0.37,-0.33,-0.59,-0.59,-1,-1.25,-1.24,-1.16,-1.44,-1.47,-1.46,-1.64
1976,-1.8,-1.05,-0.68,-0.42,-0.49,0,0.15,0.31,0.57,0.86,0.88,0.64
1977,0.84,0.55,0.4,-0.25,-0.03,0.36,0.45,0.25,0.44,0.89,1.03,1.09
1978,0.72,0.51,0.06,-0.37,-0.49,-0.45,-0.48,-0.62,-0.6,-0.34,-0.15,0.07
1979,0.05,0.09,0.13,0.17,-0.09,0.04,-0.2,0.21,0.48,0.32,0.35,0.69
1980,0.55,0.33,0.09,0.2,0.13,0.37,0.02,-0.23,-0.12,-0.11,0.1,0.36
1981,-0.45,-0.45,-0.02,-0.17,-0.11,-0.15,-0.43,-0.18,-0.07,-0.03,-0.27,0.07
1982,-0.04,-0.13,-0.02,0.24,0.65,0.92,0.64,0.93,1.39,2,2.07,2.33
1983,2.43,2.22,1.69,1.12,1.12,0.62,-0.11,-0.13,-0.5,-1.03,-1.13,-0.95
1984,-0.8,-0.53,-0.48,-0.6,-0.64,-0.9,-0.4,-0.4,-0.35,-0.83,-1.18,-1.53
1985,-0.89,-0.91,-0.96,-0.98,-0.9,-0.76,-0.61,-0.49,-0.57,-0.64,-0.43,-0.4
1986,-0.79,-0.64,-0.51,-0.41,-0.47,-0.08,0.16,0.24,0.59,0.9,1.04,0.98
1987,1.19,1.17,1.24,0.89,0.91,1.24,1.34,1.48,1.53,1.36,1.29,1.05
1988,0.69,0.35,0.29,-0.49,-1.05,-1.46,-1.54,-1.44,-1.33,-2.09,-2.18,-1.98
1989,-1.95,-1.37,-1.33,-1.11,-0.8,-0.64,-0.47,-0.58,-0.38,-0.4,-0.3,-0.13
1990,0.02,0.36,0.2,0.26,0.32,0,0.15,0.17,0.12,0.13,0.08,0.32
1991,0.51,0.32,0.1,0.21,0.44,0.65,0.62,0.43,0.22,0.91,1.14,1.62
1992,1.61,1.62,1.5,1.41,1.27,0.53,0.27,-0.15,-0.14,-0.35,-0.14,0.04
1993,0.28,0.42,0.47,0.92,0.93,0.64,0.33,0.16,0.26,0.36,0.28,0.19
1994,0.03,-0.16,-0.06,0.03,0.14,0.27,0.16,0.52,0.4,0.9,1.14,1.21
1995,1.1,0.87,0.49,0.27,0.03,0.08,0.03,-0.38,-0.57,-0.72,-0.78,-0.72
1996,-0.65,-0.66,-0.48,-0.34,-0.4,-0.12,-0.14,-0.3,-0.34,-0.28,-0.3,-0.43
1997,-0.43,-0.24,-0.06,0.34,0.87,1.15,1.6,1.94,2.1,2.29,2.42,2.3
1998,2.42,2.08,1.49,0.9,0.68,-0.39,-0.73,-0.83,-0.82,-1.19,-1.23,-1.51
1999,-1.53,-1.41,-0.92,-0.81,-0.87,-0.95,-0.84,-0.98,-0.84,-1.03,-1.41,-1.54
2000,-1.79,-1.53,-1.26,-0.8,-0.8,-0.75,-0.57,-0.36,-0.39,-0.55,-0.75,-0.92
2001,-0.88,-0.63,-0.48,-0.3,-0.3,-0.11,0.01,-0.07,-0.28,-0.26,-0.28,-0.46
2002,-0.14,0,0.11,0.14,0.21,0.68,0.57,0.7,0.82,1.16,1.41,1.41
2003,0.98,0.64,0.48,-0.03,-0.52,-0.19,0.14,0.05,0.15,0.46,0.39,0.32
2004,0.26,0.17,-0.1,0.06,0.1,0.14,0.41,0.66,0.67,0.73,0.62,0.71
2005,0.56,0.26,0.28,0.28,0.3,0.22,-0.01,-0.04,-0.08,-0.15,-0.44,-0.75
2006,-0.98,-0.71,-0.73,-0.3,-0.11,0.09,0.03,0.37,0.63,0.76,0.98,1.1
2007,0.59,0.12,-0.15,-0.16,-0.39,-0.16,-0.37,-0.57,-1.04,-1.4,-1.58,-1.61
2008,-1.79,-1.7,-1.17,-0.89,-0.64,-0.44,-0.04,-0.04,-0.28,-0.3,-0.37,-0.9
2009,-1,-0.71,-0.72,-0.25,0.17,0.49,0.69,0.62,0.68,0.96,1.49,1.81
2010,1.43,1.18,1.07,0.56,-0.15,-0.62,-0.89,-1.33,-1.56,-1.65,-1.57,-1.63
2011,-1.7,-1.26,-0.98,-0.74,-0.53,-0.25,-0.23,-0.66,-0.76,-0.93,-1.09,-1.05
2012,-0.93,-0.61,-0.48,-0.29,-0.18,0.14,0.44,0.66,0.44,0.23,0.33,-0.13
2013,-0.42,-0.4,-0.14,-0.08,-0.28,-0.33,-0.28,-0.29,-0.09,-0.24,-0.02,-0.09
2014,-0.42,-0.45,-0.07,0.28,0.45,0.48,0.13,0.14,0.37,0.48,0.89,0.77
2015,0.59,0.57,0.48,0.9,1.04,1.28,1.56,1.87,2.01,2.21,2.57,2.56
2016,2.56,2.11,1.6,1.05,0.45,0.06,-0.25,-0.48,-0.46,-0.75,-0.63,-0.51
